scenario,run,PEHE_S-Learner,MAE_S-Learner,ATEerr_S-Learner,PEHE_T-Learner,MAE_T-Learner,ATEerr_T-Learner,PEHE_X-Learner,MAE_X-Learner,ATEerr_X-Learner,PEHE_Causal Forest,MAE_Causal Forest,ATEerr_Causal Forest,PEHE_R-Learner,MAE_R-Learner,ATEerr_R-Learner,PEHE_DR-Learner,MAE_DR-Learner,ATEerr_DR-Learner,PEHE_CaML-OP,MAE_CaML-OP,ATEerr_CaML-OP
3,7,0.1596241901411372,0.11123032535911231,0.062133462413960394,0.2653984645955208,0.22486774424578942,0.07685788407376726,0.22643610567117664,0.1919091912165347,0.07046885212469045,0.13766542802383785,0.10561816858223755,0.06658330390238659,0.26788221572237647,0.2290384172327041,0.05774981097489902,0.2819754353543021,0.22934431570164962,0.06673416145343063,0.21458096854735828,0.1691631561216021,0.08131366510875442
3,8,0.08383673070500014,0.061362591538434264,0.037873777314742646,0.20222174249598424,0.16897746157357366,0.021102616714472517,0.16472936732865562,0.1304674707697652,0.038128592805672365,0.08510850465812377,0.06978356328676204,0.0575650450968537,0.2231274746685888,0.17696064036925058,0.05735427713798917,0.2428379179097023,0.188540751505729,0.056612339620877486,0.1666546805943388,0.1311355224419686,0.05248961778337735
3,9,0.06989865806237268,0.061288751481898406,0.0014506914345149336,0.21562124120629778,0.174083075159533,0.03215576542471836,0.16290908248674274,0.12995309641761105,0.01732015999250635,0.12176355005281354,0.09691553431850039,0.03767081521186493,0.2679521971211081,0.21672242334593728,0.01764759687069198,0.3187414134719208,0.24035131581804628,0.057265507135018684,0.15054812172807047,0.11609338349365339,0.05235100073797581
4,0,0.09886382896127652,0.07634849532777328,0.02122332172673879,0.27610693299613426,0.2317827886825709,0.07246755716944302,0.2133486770013293,0.17204807435520286,0.05040543131567869,0.1447020788084273,0.11570757034947345,0.05084192363592263,0.2644500669600059,0.20570215967447267,0.07231693035486918,0.30686224768610165,0.2293175276331956,0.07422262990835832,0.197999181815895,0.1496048674752414,0.044129154595775
4,1,0.10550793214375588,0.08005648280824634,0.03627789443653677,0.24187722458623678,0.20012673553918794,0.06506492995329977,0.216757378589616,0.16938531599848847,0.055465962651032916,0.17371016165440628,0.13103471930503136,0.06915742030167707,0.29193728147571657,0.22917585372970734,0.06874601910345038,0.3659927982073489,0.27060351816751366,0.04136652299712987,0.19679619617119964,0.1562250441580526,0.08495326181447971
4,2,0.09638554690832166,0.07977176309502394,0.0026002360536299673,0.2223228892301337,0.18193590903815296,0.017499924615832926,0.16181131588516814,0.13270148008342458,0.01729802179540353,0.1293588279852321,0.10137224392251967,0.015403566745774956,0.20527872063807417,0.16000803431603872,0.006379155484180134,0.22642209059610252,0.1781029241985421,0.005795583475292139,0.16669775599678582,0.1317386401474575,0.01569445879278538
4,3,0.10591367429767656,0.0898916380659969,0.04182852539930433,0.20799526481972963,0.17233523443868592,0.060575112529004355,0.15285626099421712,0.12260670256937302,0.05122627530607844,0.0982196131272141,0.07894286418385645,0.027654013261972567,0.19623638151951237,0.16228364145213778,0.04605398415141136,0.21678612918524734,0.1736768753686241,0.03365970270869621,0.13585637486201843,0.10951074841025779,0.037796797273879586
4,4,0.09542569686942384,0.07972304351114033,0.0173233420391176,0.19831826473771086,0.16138401185019755,0.023141787723321802,0.14080757045721295,0.11785894091295908,0.02833789550846466,0.11483724201932502,0.09778032233415655,0.013925750488205933,0.24737006622324792,0.20450109775802455,0.001364247170405404,0.24024653502060106,0.19595225904898048,0.004071051268700694,0.13016347167737527,0.09965915490203386,0.011914117267067753
4,5,0.10884024754079756,0.08431485422568619,0.023342936957438956,0.21152896460449902,0.15756584809383847,0.05182813324657531,0.16382038784356406,0.11192737175177456,0.05231032818540622,0.11815103735355036,0.08657176801910804,0.047351455299924794,0.22717273863142007,0.1555072022869996,0.040491923320933904,0.24466344797733577,0.16805511547018084,0.02972344563802133,0.13627794882964409,0.1028588875293709,0.032368283684580564
4,6,0.102994122100071,0.07597385624016403,0.0011241847177564284,0.21588998274904841,0.17739435212142016,0.03693120701679526,0.18330740991342848,0.15487145094547175,0.018716247976776117,0.1313037876218648,0.09775073102259772,0.0014635004078404823,0.2565956049647273,0.20746960887394902,0.001176142798409351,0.2679223910698145,0.21216464376624303,0.03680431510571681,0.15118695969326923,0.113032551319202,0.0252272209304387
